Employee ID,Department,Job Role,Job Level,Location,Age Band,Tenure (Years),Years in Current Role,Years Since Last Promotion,Monthly Salary,Salary Band,Salary Hike %,Performance Rating,Job Satisfaction Score,Work-Life Balance Score,Manager Satisfaction Score,Engagement Score,Training Hours,Overtime,Business Travel Frequency,Absence Days,Promotion Status,Remote/Hybrid/Office,Distance From Office,Internal Mobility,Recognition Received,Attrition,Attrition Type,Exit Reason,Attrition Risk Score,Risk Category,Join Date,Exit Date,Tenure Band
EMP1024,HR,HR Executive,L2,Guwahati,41-50,3.3,1.6,1.5,44000,35K-55K,7.2,3.6,2.5,3.1,3.5,3.8,11,No,None,9,Recent,Remote,27.8,No,Yes,No,Not Applicable,Not Applicable,25,Low Risk,2013-11-07,,3–5 Years
EMP1025,Operations,Operations Analyst,L3,Pune,26-30,4.6,2.7,2.0,66000,55K-80K,13.9,3.3,2.8,5.0,2.5,4.2,56,Yes,None,8,Recent,Remote,9.0,No,Yes,No,Not Applicable,Not Applicable,35,Medium Risk,2015-04-07,,3–5 Years
EMP1026,Product,Product Analyst,L2,Pune,31-35,5.2,4.5,2.4,44500,35K-55K,9.4,3.2,1.6,3.6,2.7,2.5,28,No,None,3,Recent,Hybrid,10.8,No,No,No,Not Applicable,Not Applicable,59,High Risk,2014-04-22,,6–10 Years
EMP1027,Marketing,Marketing Executive,L2,Pune,26-30,6.1,5.0,1.7,40500,35K-55K,7.1,3.6,3.0,3.2,4.9,3.7,17,No,None,14,Recent,Hybrid,22.1,No,Yes,Yes,Voluntary,Relocation,30,Low Risk,2015-08-08,1772668800000000000,6–10 Years
EMP1028,Operations,Operations Analyst,L3,Bengaluru,26-30,4.3,1.4,0.2,63500,55K-80K,4.9,2.1,3.3,2.7,3.5,3.8,30,No,Occasional,0,Recent,Hybrid,1.0,No,No,No,Not Applicable,Not Applicable,30,Low Risk,2020-11-30,,3–5 Years
EMP1029,IT,Software Engineer,L1,Guwahati,41-50,1.2,0.6,1.2,29000,<35K,6.7,3.0,3.2,3.7,4.9,4.8,55,No,Occasional,0,Recent,Hybrid,17.0,No,No,No,Not Applicable,Not Applicable,25,Low Risk,2020-03-06,,1–2 Years
EMP1030,Sales,Sales Executive,L1,Hyderabad,26-30,4.9,3.0,0.2,27000,<35K,7.4,2.1,5.0,3.8,3.8,4.0,23,Yes,Occasional,9,Recent,Hybrid,1.0,No,Yes,No,Not Applicable,Not Applicable,35,Medium Risk,2015-08-06,,3–5 Years
EMP1031,IT,Software Engineer,L3,Delhi NCR,36-40,2.2,1.3,2.2,63000,55K-80K,11.4,3.6,5.0,2.2,4.0,4.2,38,No,Frequent,3,Recent,Hybrid,15.2,No,Yes,No,Not Applicable,Not Applicable,29,Low Risk,2020-11-05,,3–5 Years
EMP1032,Marketing,Marketing Executive,L4,Hyderabad,26-30,8.2,3.1,0.2,90000,80K-110K,10.7,2.8,2.6,3.9,4.2,4.0,45,Yes,None,12,Recent,Office,11.8,Yes,No,No,Not Applicable,Not Applicable,40,Medium Risk,2018-07-08,,6–10 Years
EMP1033,Sales,Sales Executive,L2,Bengaluru,26-30,3.8,3.1,3.8,46500,35K-55K,8.4,2.2,1.5,3.1,2.4,2.4,2,No,Occasional,0,Due Soon,Hybrid,16.9,No,No,No,Not Applicable,Not Applicable,59,High Risk,2020-09-15,,3–5 Years
EMP1034,Customer Support,Customer Support Specialist,L2,Mumbai,21-25,4.4,3.0,2.9,37500,35K-55K,12.3,2.7,3.2,3.2,3.7,4.0,19,No,None,12,Due Soon,Hybrid,3.9,No,No,No,Not Applicable,Not Applicable,30,Low Risk,2019-03-13,,3–5 Years
EMP1035,Customer Support,Customer Support Specialist,L1,Bengaluru,31-35,15.0,10.0,2.9,30000,<35K,1.0,3.3,3.6,2.4,2.3,2.5,43,No,Occasional,11,Due Soon,Office,7.7,No,No,No,Not Applicable,Not Applicable,46,Medium Risk,2013-02-19,,10+ Years
EMP1036,Product,Product Analyst,L2,Guwahati,26-30,6.2,5.0,0.2,45000,35K-55K,8.4,3.1,2.5,2.8,3.2,3.6,18,No,None,8,Recent,Office,17.3,No,No,No,Not Applicable,Not Applicable,25,Low Risk,2013-08-03,,6–10 Years
EMP1037,Finance,Financial Analyst,L2,Bengaluru,36-40,4.9,3.6,1.6,45000,35K-55K,10.8,2.4,2.6,2.2,3.9,3.1,34,No,Frequent,0,Recent,Hybrid,7.9,No,No,No,Not Applicable,Not Applicable,29,Low Risk,2020-05-21,,3–5 Years
EMP1038,Sales,Sales Executive,L1,Pune,26-30,3.4,1.8,3.4,26000,<35K,8.6,2.1,4.7,2.2,2.5,3.5,17,No,Occasional,0,Due Soon,Hybrid,18.0,No,No,No,Not Applicable,Not Applicable,25,Low Risk,2019-06-26,,3–5 Years
EMP1039,IT,Software Engineer,L1,Mumbai,41-50,1.3,0.8,1.3,23500,<35K,3.0,3.2,3.1,3.6,3.9,4.2,22,No,Frequent,8,Recent,Office,13.7,Yes,No,No,Not Applicable,Not Applicable,34,Low Risk,2012-07-01,,1–2 Years
EMP1040,Operations,Operations Analyst,L2,Mumbai,26-30,3.2,1.1,0.4,44000,35K-55K,11.2,2.8,3.9,2.9,2.1,3.7,20,Yes,Occasional,6,Recent,Remote,8.4,Yes,No,No,Not Applicable,Not Applicable,35,Medium Risk,2017-01-16,,3–5 Years
EMP1041,Sales,Sales Executive,L1,Delhi NCR,36-40,1.9,1.3,1.1,28500,<35K,9.3,3.0,2.5,2.0,4.4,3.5,37,No,Frequent,11,Recent,Remote,9.5,No,Yes,No,Not Applicable,Not Applicable,34,Low Risk,2019-03-04,,1–2 Years
EMP1042,Operations,Operations Analyst,L2,Delhi NCR,36-40,10.4,3.8,2.1,46000,35K-55K,8.0,3.1,3.2,5.0,2.8,4.3,31,No,Occasional,7,Recent,Hybrid,12.0,No,No,No,Not Applicable,Not Applicable,25,Low Risk,2018-02-03,,10+ Years
EMP1043,Sales,Sales Executive,L1,Pune,36-40,4.9,3.4,0.8,26000,<35K,7.3,3.5,3.0,2.1,2.5,2.7,29,No,None,6,Recent,Office,10.2,No,No,Yes,Voluntary,Personal Reasons,25,Low Risk,2016-12-14,1783123200000000000,3–5 Years
EMP1044,Customer Support,Customer Support Specialist,L2,Mumbai,36-40,8.1,3.2,4.3,45000,35K-55K,13.0,3.8,2.7,4.2,2.2,3.7,63,Yes,None,0,Overdue,Office,17.8,No,No,Yes,Voluntary,Higher Studies,43,Medium Risk,2015-12-03,1772150400000000000,6–10 Years
EMP1045,Finance,Financial Analyst,L1,Pune,36-40,2.3,0.8,2.1,30500,<35K,8.3,3.3,4.3,1.8,2.9,3.4,52,No,None,11,Recent,Office,9.0,No,Yes,No,Not Applicable,Not Applicable,30,Low Risk,2016-02-24,,3–5 Years
EMP1046,IT,Software Engineer,L4,Mumbai,31-35,2.0,0.7,1.3,89000,80K-110K,6.3,3.0,2.1,3.6,1.8,3.4,0,No,None,4,Recent,Hybrid,7.4,No,No,No,Not Applicable,Not Applicable,37,Medium Risk,2019-05-15,,1–2 Years
EMP1047,Finance,Financial Analyst,L3,Guwahati,21-25,5.8,1.5,0.2,67500,55K-80K,4.6,3.2,3.6,3.0,2.9,4.0,22,Yes,Occasional,5,Recent,Remote,19.3,No,Yes,No,Not Applicable,Not Applicable,40,Medium Risk,2024-10-22,,6–10 Years
EMP1048,Operations,Operations Analyst,L3,Bengaluru,21-25,1.8,1.3,1.8,67000,55K-80K,9.3,3.0,3.0,2.6,4.3,4.0,62,No,None,2,Recent,Hybrid,8.6,Yes,Yes,No,Not Applicable,Not Applicable,25,Low Risk,2017-03-07,,1–2 Years
EMP1049,IT,Software Engineer,L3,Delhi NCR,41-50,2.7,2.0,2.7,60000,55K-80K,10.0,2.1,3.7,3.4,3.2,4.4,20,No,Occasional,0,Due Soon,Office,7.7,No,Yes,Yes,Voluntary,Personal Reasons,25,Low Risk,2017-01-06,1779235200000000000,3–5 Years
EMP1050,Marketing,Marketing Executive,L2,Guwahati,31-35,10.7,6.3,0.9,44000,35K-55K,7.2,3.9,3.0,3.3,2.4,3.9,57,No,Frequent,14,Recent,Remote,1.0,No,No,No,Not Applicable,Not Applicable,34,Low Risk,2011-01-31,,10+ Years
EMP1051,Customer Support,Customer Support Specialist,L1,Bengaluru,36-40,2.7,1.0,0.2,32000,<35K,5.3,3.8,4.1,2.4,3.6,3.9,22,No,Frequent,11,Recent,Remote,3.7,Yes,Yes,No,Not Applicable,Not Applicable,29,Low Risk,2012-09-03,,3–5 Years
EMP1052,Product,Product Analyst,L2,Delhi NCR,26-30,1.0,0.3,1.0,42000,35K-55K,11.0,4.5,2.5,2.4,3.5,3.6,25,No,None,11,Recent,Remote,5.3,Yes,Yes,No,Not Applicable,Not Applicable,25,Low Risk,2023-01-15,,Less than 1 Year
EMP1053,Customer Support,Customer Support Specialist,L3,Pune,21-25,0.7,0.2,0.7,56500,55K-80K,4.3,4.7,4.3,1.7,5.0,4.6,40,Yes,None,6,Recent,Hybrid,7.7,No,Yes,No,Not Applicable,Not Applicable,50,Medium Risk,2019-03-30,,Less than 1 Year
EMP1054,Customer Support,Customer Support Specialist,L3,Guwahati,21-25,0.9,0.3,0.9,61000,55K-80K,12.9,2.4,3.3,3.5,4.1,4.0,27,No,None,0,Recent,Office,6.2,Yes,No,No,Not Applicable,Not Applicable,30,Low Risk,2018-12-22,,Less than 1 Year
EMP1055,IT,Software Engineer,L2,Hyderabad,31-35,8.4,7.0,5.5,35500,35K-55K,4.8,3.0,2.1,2.0,3.7,3.5,35,Yes,None,18,Overdue,Hybrid,19.9,No,Yes,Yes,Voluntary,Work-Life Balance,58,High Risk,2021-05-30,1788912000000000000,6–10 Years
EMP1056,Customer Support,Customer Support Specialist,L1,Hyderabad,26-30,2.4,1.0,2.2,31500,<35K,3.2,4.8,3.9,3.2,4.2,3.6,50,No,Occasional,9,Recent,Office,5.8,No,Yes,No,Not Applicable,Not Applicable,30,Low Risk,2018-09-13,,3–5 Years
EMP1057,Sales,Sales Executive,L2,Delhi NCR,26-30,15.0,7.2,1.3,45000,35K-55K,3.5,3.2,3.1,3.8,3.3,4.5,39,Yes,Occasional,8,Recent,Remote,6.4,No,No,Yes,Involuntary,Job Role Mismatch,40,Medium Risk,2012-11-13,1771200000000000000,10+ Years
EMP1058,Marketing,Marketing Executive,L2,Guwahati,31-35,9.7,3.1,0.2,40000,35K-55K,3.7,3.4,1.8,3.4,3.3,3.4,30,Yes,Occasional,5,Recent,Office,13.2,No,No,Yes,Voluntary,Higher Studies,58,High Risk,2011-09-14,1773705600000000000,6–10 Years
EMP1059,Sales,Sales Executive,L3,Bengaluru,21-25,12.3,4.9,1.7,56500,55K-80K,6.3,2.2,3.6,2.5,4.8,3.4,51,No,Occasional,0,Recent,Office,3.2,No,Yes,No,Not Applicable,Not Applicable,25,Low Risk,2013-07-28,,10+ Years
EMP1060,HR,HR Executive,L2,Bengaluru,31-35,7.3,4.3,2.5,39000,35K-55K,5.6,3.3,4.2,4.1,2.0,3.6,40,Yes,Occasional,13,Due Soon,Hybrid,24.5,No,Yes,No,Not Applicable,Not Applicable,52,Medium Risk,2018-12-04,,6–10 Years
EMP1061,Operations,Operations Analyst,L2,Guwahati,26-30,5.6,3.6,2.3,39500,35K-55K,10.1,4.5,4.5,2.8,4.2,3.7,18,Yes,None,2,Recent,Office,18.4,No,Yes,No,Not Applicable,Not Applicable,35,Medium Risk,2019-09-21,,6–10 Years
EMP1062,Finance,Financial Analyst,L5,Hyderabad,36-40,1.9,0.8,1.9,126000,110K+,9.6,4.0,3.0,1.9,3.3,3.1,56,No,Occasional,10,Recent,Hybrid,2.7,No,No,Yes,Voluntary,Relocation,30,Low Risk,2013-02-15,1768608000000000000,1–2 Years
EMP1063,Product,Product Analyst,L3,Guwahati,26-30,3.7,1.1,3.0,65500,55K-80K,6.3,2.8,3.4,2.9,3.2,3.6,37,Yes,None,11,Due Soon,Office,20.1,No,No,No,Not Applicable,Not Applicable,35,Medium Risk,2018-06-25,,3–5 Years
EMP1064,HR,HR Executive,L1,Hyderabad,26-30,6.0,3.0,2.0,31500,<35K,15.0,2.9,3.3,3.8,2.9,4.3,25,Yes,None,9,Recent,Office,21.8,No,No,No,Not Applicable,Not Applicable,35,Medium Risk,2013-01-01,,6–10 Years
EMP1065,Finance,Financial Analyst,L1,Hyderabad,21-25,7.0,2.8,1.0,26500,<35K,6.3,2.5,4.6,2.6,3.5,4.2,0,No,None,9,Recent,Hybrid,2.9,No,Yes,No,Not Applicable,Not Applicable,25,Low Risk,2025-07-30,,6–10 Years
EMP1066,IT,Software Engineer,L1,Pune,21-25,1.4,0.5,1.4,24000,<35K,6.7,2.6,2.6,4.0,3.4,3.8,9,No,None,14,Recent,Hybrid,2.7,No,No,No,Not Applicable,Not Applicable,30,Low Risk,2016-08-04,,1–2 Years
EMP1067,Marketing,Marketing Executive,L1,Pune,26-30,3.2,2.8,0.7,25000,<35K,3.2,2.0,2.9,2.5,3.0,2.9,52,No,None,3,Recent,Remote,7.1,No,Yes,No,Not Applicable,Not Applicable,30,Low Risk,2013-08-27,,3–5 Years
EMP1068,Product,Product Analyst,L1,Bengaluru,26-30,3.5,2.3,2.5,28000,<35K,6.8,3.1,2.5,2.6,2.8,3.0,52,No,None,8,Due Soon,Hybrid,1.0,Yes,Yes,No,Not Applicable,Not Applicable,25,Low Risk,2011-04-13,,3–5 Years
EMP1069,Sales,Sales Executive,L1,Delhi NCR,31-35,3.4,2.1,3.0,26000,<35K,7.9,4.2,2.0,2.2,1.8,2.6,29,No,Occasional,6,Due Soon,Hybrid,5.8,No,No,Yes,Voluntary,Higher Studies,55,High Risk,2013-12-19,1769558400000000000,3–5 Years
EMP1070,Customer Support,Customer Support Specialist,L2,Mumbai,26-30,1.6,0.8,1.6,41000,35K-55K,3.4,3.4,3.5,3.8,2.8,3.6,3,No,Occasional,0,Recent,Office,8.8,Yes,No,No,Not Applicable,Not Applicable,30,Low Risk,2025-04-02,,1–2 Years
EMP1071,Product,Product Analyst,L1,Guwahati,31-35,11.4,6.0,1.1,27000,<35K,5.5,4.1,4.7,3.1,3.0,4.1,13,No,None,8,Recent,Hybrid,16.0,No,Yes,No,Not Applicable,Not Applicable,25,Low Risk,2024-04-24,,10+ Years
EMP1072,Marketing,Marketing Executive,L4,Hyderabad,36-40,3.1,1.9,0.2,98000,80K-110K,8.0,3.9,3.1,2.3,3.5,3.6,5,Yes,None,13,Recent,Office,12.6,No,No,No,Not Applicable,Not Applicable,40,Medium Risk,2019-05-29,,3–5 Years
EMP1073,Sales,Sales Executive,L1,Guwahati,36-40,1.7,1.2,1.7,26500,<35K,5.4,2.8,2.5,2.8,5.0,3.7,5,No,Occasional,14,Recent,Remote,10.8,Yes,No,No,Not Applicable,Not Applicable,30,Low Risk,2021-04-06,,1–2 Years
EMP1074,Product,Product Analyst,L2,Delhi NCR,21-25,11.6,8.2,2.9,40500,35K-55K,4.8,2.7,3.5,1.0,2.9,3.0,56,No,None,16,Due Soon,Office,8.1,No,No,No,Not Applicable,Not Applicable,40,Medium Risk,2012-01-07,,10+ Years
EMP1075,IT,Software Engineer,L2,Delhi NCR,26-30,9.7,3.5,2.9,44500,35K-55K,9.3,2.7,3.8,3.9,2.5,3.9,57,No,Frequent,0,Due Soon,Office,1.5,No,No,No,Not Applicable,Not Applicable,29,Low Risk,2012-11-09,,6–10 Years
EMP1076,IT,Software Engineer,L5,Mumbai,21-25,4.1,2.4,0.2,118500,110K+,3.2,2.1,3.2,3.0,2.8,3.4,12,Yes,Occasional,15,Recent,Office,16.7,No,No,Yes,Voluntary,Better Compensation,45,Medium Risk,2011-07-21,1778112000000000000,3–5 Years
EMP1077,Product,Product Analyst,L1,Mumbai,26-30,2.6,1.3,2.6,29000,<35K,3.7,3.2,4.6,1.0,3.5,3.2,28,Yes,None,8,Due Soon,Remote,16.6,No,No,No,Not Applicable,Not Applicable,45,Medium Risk,2011-03-30,,3–5 Years
EMP1078,Sales,Sales Executive,L2,Hyderabad,41-50,0.9,0.7,0.9,43500,35K-55K,7.5,1.3,2.6,1.8,3.9,3.3,10,No,None,15,Recent,Remote,7.1,No,No,No,Not Applicable,Not Applicable,40,Medium Risk,2016-06-19,,Less than 1 Year
EMP1079,HR,HR Executive,L5,Pune,21-25,5.3,3.5,1.7,126500,110K+,9.5,3.6,3.0,2.8,4.0,3.8,28,Yes,None,5,Recent,Remote,3.2,No,No,No,Not Applicable,Not Applicable,35,Medium Risk,2023-04-22,,6–10 Years
EMP1080,Sales,Sales Executive,L4,Mumbai,31-35,2.5,1.5,0.4,81000,80K-110K,7.9,3.2,3.6,2.0,4.1,3.3,51,No,None,4,Recent,Hybrid,24.4,No,Yes,No,Not Applicable,Not Applicable,30,Low Risk,2011-07-07,,3–5 Years
EMP1081,Customer Support,Customer Support Specialist,L4,Pune,31-35,3.7,1.2,0.2,100000,80K-110K,6.3,3.5,3.7,4.0,4.2,4.1,43,No,None,1,Recent,Hybrid,14.0,Yes,No,No,Not Applicable,Not Applicable,25,Low Risk,2025-02-27,,3–5 Years
EMP1082,IT,Software Engineer,L1,Pune,31-35,11.0,7.1,4.2,33500,<35K,6.1,3.9,3.3,3.6,3.2,4.1,39,No,Occasional,11,Overdue,Office,15.2,Yes,Yes,No,Not Applicable,Not Applicable,33,Low Risk,2023-12-31,,10+ Years
EMP1083,HR,HR Executive,L1,Hyderabad,31-35,2.3,0.8,2.3,28000,<35K,10.0,3.3,2.1,3.5,5.0,3.5,25,Yes,None,10,Recent,Hybrid,15.5,No,Yes,No,Not Applicable,Not Applicable,35,Medium Risk,2015-04-04,,3–5 Years
EMP1084,Sales,Sales Executive,L3,Bengaluru,21-25,5.2,2.4,1.9,59000,55K-80K,9.6,4.3,5.0,1.0,3.1,3.5,46,No,Occasional,1,Recent,Hybrid,2.4,No,No,No,Not Applicable,Not Applicable,30,Low Risk,2023-10-27,,6–10 Years
EMP1085,Finance,Financial Analyst,L4,Pune,26-30,6.2,2.1,1.0,90000,80K-110K,7.1,3.6,3.1,2.7,3.5,3.6,37,No,Occasional,0,Recent,Hybrid,24.0,No,Yes,No,Not Applicable,Not Applicable,25,Low Risk,2011-08-18,,6–10 Years
EMP1086,HR,HR Executive,L2,Hyderabad,31-35,8.2,5.7,1.6,45500,35K-55K,6.2,2.7,3.4,2.5,4.5,4.1,34,No,None,9,Recent,Office,8.8,No,No,No,Not Applicable,Not Applicable,25,Low Risk,2020-09-22,,6–10 Years
EMP1087,IT,Software Engineer,L2,Mumbai,21-25,3.5,1.3,1.6,39500,35K-55K,7.1,3.0,3.9,2.3,3.9,4.5,26,Yes,None,10,Recent,Office,18.6,Yes,No,Yes,Voluntary,Career Growth,35,Medium Risk,2025-05-16,1779148800000000000,3–5 Years
EMP1088,IT,Software Engineer,L1,Guwahati,26-30,3.2,1.6,0.2,27500,<35K,4.8,1.7,2.7,2.8,1.5,3.1,32,Yes,None,2,Recent,Office,23.7,No,No,No,Not Applicable,Not Applicable,52,Medium Risk,2011-02-24,,3–5 Years
EMP1089,Customer Support,Customer Support Specialist,L3,Mumbai,21-25,3.1,2.6,1.7,67000,55K-80K,6.5,2.6,3.4,2.1,3.4,3.9,32,No,None,1,Recent,Hybrid,12.7,No,Yes,No,Not Applicable,Not Applicable,25,Low Risk,2022-12-15,,3–5 Years
EMP1090,Operations,Operations Analyst,L1,Delhi NCR,21-25,4.8,1.8,2.5,31000,<35K,5.5,3.0,2.7,3.4,4.1,3.9,20,Yes,Occasional,10,Due Soon,Hybrid,2.5,No,Yes,No,Not Applicable,Not Applicable,35,Medium Risk,2022-01-14,,3–5 Years
EMP1091,Sales,Sales Executive,L2,Mumbai,26-30,9.5,5.5,3.9,45000,35K-55K,6.7,3.6,3.7,3.9,2.3,3.6,17,No,None,16,Due Soon,Office,1.0,No,No,Yes,Voluntary,Work-Life Balance,30,Low Risk,2014-01-28,1781827200000000000,6–10 Years
EMP1092,IT,Software Engineer,L2,Bengaluru,21-25,3.0,1.6,2.2,45000,35K-55K,5.6,2.7,3.1,3.8,4.0,4.2,14,No,Occasional,5,Recent,Hybrid,11.7,No,No,No,Not Applicable,Not Applicable,25,Low Risk,2019-08-07,,3–5 Years
EMP1093,Product,Product Analyst,L2,Hyderabad,31-35,0.3,0.1,0.2,40500,35K-55K,8.6,2.4,3.5,3.1,3.7,3.8,15,No,None,3,Recent,Remote,14.0,No,Yes,No,Not Applicable,Not Applicable,30,Low Risk,2020-03-24,,Less than 1 Year
